compound_id,base_rdkit_smiles,relation,PIC50,active
QEHHTVFVEDPISA-UHFFFAOYSA-N,Cc1cccc(C)c1CNc1nc(-c2cccc(=O)[nH]2)cc2c(C)c(C)[nH]c12,,5.771816983435478,0
MXDWNZUMSIYAFL-UHFFFAOYSA-N,O=[N+]([O-])c1cc(O)c2c(c1)S(=O)(=O)N=C(Nc1ccccc1Cl)N2,>,4.6020599913279625,0
QYMLHNYPNZUQCL-UHFFFAOYSA-N,O=C(NC1CC1c1ccccc1)N1CCC(c2nnco2)CC1,>,5.0,0
SCCIUWBTSOHVEK-VYQNARHWSA-N,C=CCN1CC(=O)N2C(Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(-c5ccc(NC(=O)Nc6ccc(OC)nc6)cc5)cn(C)c34)CC2N1C(=O)NCc1ccccc1,>,4.6020599913279625,0
PXISBMZXCKNRIL-UHFFFAOYSA-N,O=C(C(c1ccc(Cl)cc1)c1cncnc1)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,,4.7447274948966935,0
SEXWHEGZWUEBDD-UHFFFAOYSA-N,CC1(CC(=O)NCc2ccc(N3CCOCC3)cc2)CC2(CCCCC2)OO1,>,5.301029995663981,0
VSYWLXSRFUTNAH-UHFFFAOYSA-N,COc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccccn5)ccc43)cc2)nn1,,7.82102305270683,1
NASKVDWGYKOGBO-XDSPJLLDSA-N,COCCCc1cc(CN(C(=O)C2CNCCC2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCCC(C)(C)C(=O)O)c1,>,4.301029995663981,0
VZQLEKQMCOAWNB-LJQANCHMSA-N,CC(Oc1cc(-n2cnc3cc(-c4ccnc(NC5CCN(C)CC5)c4)ccc32)sc1C(N)=O)c1ccccc1Cl,,5.64325472845303,0
LNFPYTXWNUBAEF-PMACEKPBSA-N,CCN(CC(CC(C)C)NC(=O)OCc1cncs1)CC(CC(C)C)NC(=O)OCc1nccs1,,6.866461091629782,1
CZFUYZPXZGGWKC-SRQUHQSVSA-N,O=C1Nc2ccccc2C1=Cc1ccc2c(C=Cc3ccncc3)n[nH]c2c1,,5.784318117920506,0
QFQMKJXIFPLCNP-UHFFFAOYSA-N,O=c1[nH]c2cc(-c3cccc(Cl)c3)ccc2c2nc(-c3c(F)cccc3Cl)[nH]c12,>,4.5228787452803365,0
QOWBPCJXESFQOP-VBXQXZIHSA-N,C=CCN1CC(=O)N2C(Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(N6CCN(C)CC6)nc5)cn(C)c34)CC2N1C(=O)NCc1ccccc1,,5.1191864077192095,0
YIJWSWGNFRVEHD-UHFFFAOYSA-N,Nc1c(-c2ccccc2)nn(-c2nc(C(=O)O)cs2)c1-c1ccccc1,>,5.0,0
